category,department,expense_category,expense_name,amount
Community,HNI,Salary & Benefits,LIFE INS,51
Community,HNI,Salary & Benefits,PER DIEMS - COMMISSIONS & BDS,1280
Community,HNI,Salary & Benefits,PT/LTE/SEASONAL,19350
Community,HNI,Salary & Benefits,SALARIES & WAGES-HNI,85606
Community,HNI,Salary & Benefits,WRS,6164
Community,HNI,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",400
Community,HNI,"Training,Travel, Tuition",TRAINING & TRAVEL,2500
Community,HNI,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,280
Community,Neighborhood Hub,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000
Community,Neighborhood Hub,Equipment Materials & Supplies,EQUIPMENT EXPENSE,7500
Community,Neighborhood Hub,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,5000
Community,Neighborhood Hub,Insurance Expenses,INSURANCE ISF ALLOCATION,4820
Community,Neighborhood Hub,Salary & Benefits,DISABILITY INS,167
Community,Neighborhood Hub,Salary & Benefits,FICA,2062
Community,Neighborhood Hub,Salary & Benefits,LIFE INS,39
Community,Neighborhood Hub,Salary & Benefits,SALARIES & WAGES,26952
Community,Neighborhood Hub,Salary & Benefits,WRS,1941
Community,Neighborhood Hub,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,11500
Community,Neighborhood Hub,Utilities,UTILITIES & PAY TELEPHONE,24720
Community,Senior Center,Equipment Materials & Supplies,EQUIPMENT EXPENSE,2250
Community,Senior Center,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,600
Community,Senior Center,Gasoline and Fuel,GASOLINE/DIESEL FUEL,400
Community,Senior Center,General Office,OFFICE SUPPLIES & POSTAGE,1650
Community,Senior Center,General Office,PUBLIC INFORMATION & EDUCATION,1000
Community,Senior Center,General Office,"PUBLICATIONS, DUES",420
Community,Senior Center,IT Expenses,IT CAPITAL ISF ALLOCATION,2855
Community,Senior Center,IT Expenses,IT OPERATING ISF ALLOCATION,45490
Community,Senior Center,Insurance Expenses,INSURANCE ISF ALLOCATION,17212
Community,Senior Center,Program Expenses,NUTRITION PROGRAM,3500
Community,Senior Center,Program Expenses,SENIOR PROGRAMS EXPENSE,2500
Community,Senior Center,Program Expenses,VOLUNTEER PROGRAM EXP,2500
Community,Senior Center,Salary & Benefits,DENTAL INS,8436
Community,Senior Center,Salary & Benefits,DISABILITY INS,2681
Community,Senior Center,Salary & Benefits,FICA,46497
Community,Senior Center,Salary & Benefits,HEALTH INS,162391
Community,Senior Center,Salary & Benefits,LIFE INS,2110
Community,Senior Center,Salary & Benefits,LONGEVITY,4410
Community,Senior Center,Salary & Benefits,PER DIEMS - COMM ON AGING,900
Community,Senior Center,Salary & Benefits,PT/LTE/SEASONAL WAGES,18303
Community,Senior Center,Salary & Benefits,SALARIES & WAGES - SENIOR CTR,585082
Community,Senior Center,Salary & Benefits,WRS,42444
Community,Senior Center,Software and Contracted Services,OTHER CONTRACTUAL,13940
Community,Senior Center,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,1000
Community,Senior Center,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",1035
Community,Senior Center,"Training,Travel, Tuition",TRAINING & TRAVEL,2600
Community,Senior Center,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,400
Community,Senior Center,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",200
Fire/EMS,Fire Department,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000
Fire/EMS,Fire Department,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000
Fire/EMS,Fire Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,1500
Fire/EMS,Fire Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,1000
Fire/EMS,Fire Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,25000
Fire/EMS,Fire Department,Equipment Materials & Supplies,MEDICAL/EMS SUPPLIES,10815
Fire/EMS,Fire Department,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,10300
Fire/EMS,Fire Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,4000
Fire/EMS,Fire Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,2500
Fire/EMS,Fire Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,3180
Fire/EMS,Fire Department,Gasoline and Fuel,GASOLINE/DIESEL FUEL,41200
Fire/EMS,Fire Department,General Office,COMMUNICATIONS EXPENSE,11845
Fire/EMS,Fire Department,General Office,LEASE/RENTAL COSTS,9270
Fire/EMS,Fire Department,General Office,OFFICE SUPPLIES & POSTAGE,3090
Fire/EMS,Fire Department,General Office,PUBLIC INFORMATION & EDUCATION,5150
Fire/EMS,Fire Department,General Office,"PUBLICATIONS, DUES",5800
Fire/EMS,Fire Department,IT Expenses,IT CAPITAL ISF ALLOCATION,21755
Fire/EMS,Fire Department,IT Expenses,IT OPERATING ISF ALLOCATION,243695
Fire/EMS,Fire Department,Insurance Expenses,INSURANCE ISF ALLOCATION,159823
Fire/EMS,Fire Department,Salary & Benefits,DENTAL INS,22715
Fire/EMS,Fire Department,Salary & Benefits,DISABILITY INS,8098
Fire/EMS,Fire Department,Salary & Benefits,FICA,205120
Fire/EMS,Fire Department,Salary & Benefits,HEALTH INS,458481
Fire/EMS,Fire Department,Salary & Benefits,HOLIDAY PREMIUM,26174
Fire/EMS,Fire Department,Salary & Benefits,LIFE INS,4964
Fire/EMS,Fire Department,Salary & Benefits,LONGEVITY,7740
Fire/EMS,Fire Department,Salary & Benefits,OVERTIME,215968
Fire/EMS,Fire Department,Salary & Benefits,POC SERVICES,614374
Fire/EMS,Fire Department,Salary & Benefits,PT/LTE/SEASONAL WAGES,23400
Fire/EMS,Fire Department,Salary & Benefits,SALARIES & WAGES - FIRE,1786160
Fire/EMS,Fire Department,Salary & Benefits,TAXABLE CLOTHING ALLOWANCE,7500
Fire/EMS,Fire Department,Salary & Benefits,WRS,365801
Fire/EMS,Fire Department,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,8500
Fire/EMS,Fire Department,Software and Contracted Services,PROFESSIONAL SERVICES,515
Fire/EMS,Fire Department,Software and Contracted Services,PUBLIC NOTICES/ADS,515
Fire/EMS,Fire Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,19550
Fire/EMS,Fire Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,19500
Fire/EMS,Fire Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,12000
Fire/EMS,Fire Department,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",20675
Fire/EMS,Fire Department,"Training,Travel, Tuition",TRAINING & TRAVEL,26045
Fire/EMS,Fire Department,"Training,Travel, Tuition",TUITION REIMBURSEMENT,20155
Fire/EMS,Fire Department,Uniforms & Protective Gear,PROTECTIVE GEAR,66545
Fire/EMS,Fire Department,Uniforms & Protective Gear,UNIFORMS,11800
Fire/EMS,Fire Department,Utilities,UTILITIES,29355
Fire/EMS,Fire Department,Utilities,UTILITIES,37500
Fire/EMS,Fire Department,Utilities,UTILITIES,7060
Fire/EMS,Fire Department,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",60000
Fire/EMS,Other Public Safety,DaneCom System,DANE COM/ANALOG TACTICAL,146500
Fire/EMS,Other Public Safety,EMS,FITCHRONA EMS CONTRIBUTION,1450629
Fire/EMS,Other Public Safety,EMS,WEIGHTS & MEASURES,6000
Fire/EMS,Other Public Safety,Salary & Benefits,PER DIEMS - POLICE & FIRE COMM,1500
General Government,Admin,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,100
General Government,Admin,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,300
General Government,Admin,Gasoline and Fuel,GASOLINE/DIESEL FUEL,350
General Government,Admin,General Office,OFFICE SUPPLIES & POSTAGE,350
General Government,Admin,General Office,PUBLIC INFORMATION & EDUCATION,9000
General Government,Admin,General Office,PUBLICATIONS & DUES,2625
General Government,Admin,IT Expenses,IT CAPITAL ISF ALLOCATION,915
General Government,Admin,IT Expenses,IT OPERATING ISF ALLOCATION,22515
General Government,Admin,Insurance Expenses,INSURANCE ISF ALLOCATION,3750
General Government,Admin,Salary & Benefits,Admin Holiday Premium,93
General Government,Admin,Salary & Benefits,DENTAL INS,4236
General Government,Admin,Salary & Benefits,DISABILITY INS,1200
General Government,Admin,Salary & Benefits,FICA,32312
General Government,Admin,Salary & Benefits,HEALTH INS,79872
General Government,Admin,Salary & Benefits,LIFE INS,1189
General Government,Admin,Salary & Benefits,LONGEVITY,1170
General Government,Admin,Salary & Benefits,SALARIES & WAGES-ADMIN,421117
General Government,Admin,Salary & Benefits,WRS,30411
General Government,Admin,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",125
General Government,Admin,"Training,Travel, Tuition",TRAINING & TRAVEL,8000
General Government,Admin,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,875
General Government,Admin,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",500
General Government,Assessing,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,50
General Government,Assessing,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,300
General Government,Assessing,Gasoline and Fuel,GASOLINE/DIESEL FUEL,700
General Government,Assessing,General Office,OFFICE SUPPLIES & POSTAGE,3755
General Government,Assessing,General Office,"PUBLICATIONS, DUES",1070
General Government,Assessing,IT Expenses,IT CAPITAL ISF ALLOCATION,1525
General Government,Assessing,IT Expenses,IT OPERATING ISF ALLOCATION,32570
General Government,Assessing,Insurance Expenses,INSURANCE ISF ALLOCATION,12260
General Government,Assessing,Salary & Benefits,DENTAL INS,5259
General Government,Assessing,Salary & Benefits,DISABILITY INS,1991
General Government,Assessing,Salary & Benefits,FICA,33030
General Government,Assessing,Salary & Benefits,HEALTH INS,101537
General Government,Assessing,Salary & Benefits,LIFE INS,749
General Government,Assessing,Salary & Benefits,OVERTIME WAGES,4117
General Government,Assessing,Salary & Benefits,PER DIEMS - BOR,630
